source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,sku_popularity_raw,sku_popularity,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,discount_type_raw,discount_type,classify_reason,is_target,main_rank,bsr_rank,page_type
topseller_api,3,218,303,303,303,303,organic,True,S0XG80PN,S0XG80PN059X,,https://www.otto.de/p/gastrohero-kuehlschrank-bkt-eco0-8-bkt-eco0-8-867-cm-hoch-254-2-cm-breit-S0XG80PN/,GastroHero Kühlschrank BKT-ECO0/8 BKT-ECO0/8,,,GastroHero,"2.141,88 €","4.532,71 €",-53%,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,,,E,https://i.otto.de/i/otto/ea79c274-5832-553e-a5c9-3f4f46722fe7?$dv_energieetikett$,https://d.otto.de/files/8931d8cd-0c25-5395-a01c-e4bed6f75a63.pdf,"{""B/H/T"": ""254.2 x 867 x 52 cm""}",,,ref_type_keyword,True,255,,main
topseller_api,3,218,304,304,304,304,sponsored,True,1794309099,1794309127,sponsored,https://www.otto.de/p/samsung-kuehl-gefrierkombination-7300a-serie-rb38c607ab1-203-cm-hoch-59-5-cm-breit-no-frostplus-spacemax-wifi-ai-energy-mode-1794309099/,Samsung Kühl-/Gefrierkombination 7300A Serie RB38C607AS9,Gesponsert,Sponsored,Samsung,"949,00 €","1.799,00 €",-47%,Sehr beliebt,Very popular,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,90,5.0,A,https://i.otto.de/i/otto/50fd6b7b-c4b7-5daa-aa7f-b38778a7762d?$dv_energieetikett$,https://d.otto.de/files/fd833645-2b8d-5787-806e-9d009fa00ba4.pdf,"{""B/H/T"": ""59,5 x 203 x 65,8 cm"", ""Kapazität Kühlen"": ""273 l"", ""Kapazität Frieren"": ""114 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,ref_type_keyword,True,256,,main
topseller_api,3,218,307,307,307,307,organic,True,1594220438,1594220804,,https://www.otto.de/p/hanseatic-einbaukuehlschrank-heks12254ge-123-cm-hoch-54-cm-breit-inkl-3-jahre-herstellergarantie-1594220438/,Hanseatic Einbaukühlschrank HEKS12254GE,,,Hanseatic,"279,99 €","329,99 €",-15%,Sehr beliebt,Very popular,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,34,4.0,E,https://i.otto.de/i/otto/f0eae00e-0bee-51e8-8af7-bd015acca0fb?$dv_energieetikett$,https://d.otto.de/files/5c4b5a49-9407-538e-92c3-2f310964067f.pdf,"{""B/H/T"": ""54 x 123 x 54 cm"", ""Kapazität Kühlen"": ""167 l"", ""Kapazität Frieren"": ""14 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,ref_type_keyword,True,257,,main
topseller_api,3,218,309,309,309,309,organic,True,1912733885,2022282831,,https://www.otto.de/p/lg-side-by-side-l-serie-gsle91evab-179-cm-hoch-91-3-cm-breit-eis-crushed-ice-und-wasserspender-total-no-frost-1912733885/,LG Side-by-Side GSLE91MBAB,,,LG,"1.889,00 €","2.599,00 €",-27%,,,lieferbar - in 6-7 Werktagen bei dir,Available - at your door in 6-7 working days,10,5.0,B,https://i.otto.de/i/otto/a37e64ac-dfe1-5b7b-a731-23be107bb480?$dv_energieetikett$,https://d.otto.de/files/edd2b501-dd59-5631-a4d3-b56e8d2b7e4f.pdf,"{""B/H/T"": ""91,3 x 179 x 73,1 cm"", ""Kapazität Kühlen"": ""404 l"", ""Kapazität Frieren"": ""219 l"", ""Betriebsgeräusch"": ""32 dB(A)""}",,,ref_type_keyword,True,258,,main
topseller_api,3,218,311,311,311,311,organic,True,1594220440,1594221745,,https://www.otto.de/p/hanseatic-einbaukuehlschrank-heks12254e-123-cm-hoch-54-cm-breit-inkl-3-jahre-herstellergarantie-1594220440/,Hanseatic Einbaukühlschrank HEKS12254E,,,Hanseatic,"279,99 €","379,99 €",-26%,,,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,27,4.5,E,https://i.otto.de/i/otto/45af3bfa-8ba9-5091-9e3a-030e82a99e96?$dv_energieetikett$,https://d.otto.de/files/9dad2ccc-b8fa-53c8-badc-6d1e44c55f31.pdf,"{""B/H/T"": ""54 x 123 x 54 cm"", ""Kapazität Kühlen"": ""199 l"", ""Kapazität Frieren"": ""0 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,ref_type_keyword,True,259,,main
topseller_api,3,218,313,313,313,313,organic,True,CS0CFR0JU,S0X9X0Y5E0XO,,https://www.otto.de/p/pkm-kuehl-gefrierkombination-sbs444eixwd-177-cm-hoch-90-cm-breit-CS0CFR0JU/,PKM Kühl-/Gefrierkombination SBS444EIXWD,,,PKM,"519,85 €","1.299,00 €",-60%,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,11,4.0,E,https://i.otto.de/i/otto/e7cacacc-914f-4ef4-a388-8026684dd18e?$dv_energieetikett$,https://d.otto.de/files/c8ff6d16-cade-443d-be51-989cdce21a50.pdf,"{""B/H/T"": ""90 x 177 x 59 cm"", ""Kapazität Kühlen"": ""288 l"", ""Kapazität Frieren"": ""151 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,ref_type_keyword,True,260,,main
topseller_api,3,218,314,314,314,314,organic,True,CS0EAZ0VC,S0R9X0J1ROZO,,https://www.otto.de/p/bomann-getraenkekuehlschrank-kg-7351-194-5-cm-hoch-59-5-cm-breit-getraenkekuehlschrank-abschliessbar-6-ablagen-CS0EAZ0VC/,BOMANN Getränkekühlschrank KG 7351,,,BOMANN,"549,00 €",,,,,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,2,3.5,D,https://i.otto.de/i/otto/248d5639-fbdd-52e5-9c10-f0cc95ec1a6e?$dv_energieetikett$,https://d.otto.de/files/ede25e41-b01d-5ea1-bb59-365ff4034a40.pdf,"{""B/H/T"": ""59.5 x 194.5 x 57 cm"", ""Kapazität Kühlen"": ""347 l""}",,,ref_type_keyword,True,261,,main
topseller_api,3,218,315,315,315,315,organic,True,C2028591051,2028591052,,https://www.otto.de/p/lg-multi-door-gmf961ev6c-179-2-cm-hoch-91-4-cm-breit-wassertank-C2028591051/,LG Multi Door GMF961EV6C,,,LG,"1.999,00 €","2.499,00 €",-20%,,,lieferbar - in 6-7 Werktagen bei dir,Available - at your door in 6-7 working days,2,5.0,C,https://i.otto.de/i/otto/7c168a13-2d5d-5ea0-b3b1-0a4e3d5c4566?$dv_energieetikett$,https://d.otto.de/files/40d1f0cb-1952-5260-bcc8-546efc0e0453.pdf,"{""B/H/T"": ""91,4 x 179,2 x 73,3 cm"", ""Kapazität Kühlen"": ""384 l"", ""Kapazität Frieren"": ""261 l"", ""Betriebsgeräusch"": ""34 dB(A)""}",,,ref_type_keyword,True,262,,main
topseller_api,3,218,316,316,316,316,organic,True,S0LG40HU,S0LG40HUJ4SH,,https://www.otto.de/p/frigelux-getraenkekuehlschrank-d95-84-cm-hoch-schloss-S0LG40HU/,FrigeluX Getränkekühlschrank D95,,,FrigeluX,"299,00 €","499,00 €",-40%,,,lieferbar - in 6-7 Werktagen bei dir,Available - at your door in 6-7 working days,,,C,https://i.otto.de/i/otto/40e9edea-7e89-43d0-84a3-0965cbedc606?$dv_energieetikett$,https://d.otto.de/files/cc424282-136b-4369-9566-6ef1df550a8a.pdf,"{""Kapazität Kühlen"": ""87 l"", ""Betriebsgeräusch"": ""44 dB(A)""}",,,ref_type_keyword,True,263,,main
topseller_api,3,218,317,317,317,317,organic,True,2077536741,2077536744,,https://www.otto.de/p/beko-kuehl-gefrierkombination-b7rcna377hxp-186-5-cm-hoch-59-5-cm-breit-volle-kapazitaet-ohne-abtauen-2077536741/,BEKO Kühl-/Gefrierkombination B7RCNA377HXP,,,BEKO,"629,00 €","819,00 €",-23%,,,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,,,B,https://i.otto.de/i/otto/2a815ac5-b730-5f03-a605-3f839fe13af8?$dv_energieetikett$,https://d.otto.de/files/38928821-380c-59da-b3be-3ab2b030add3.pdf,"{""B/H/T"": ""59,5 x 186,5 x 67,3 cm"", ""Kapazität Kühlen"": ""252 l"", ""Kapazität Frieren"": ""118 l"", ""Betriebsgeräusch"": ""32 dB(A)""}",,,ref_type_keyword,True,264,,main
