source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,discount_type_raw,discount_type,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity
topseller_api,1,0,72,72,72,72,sponsored,True,1723522817,1723522818,sponsored,https://www.otto.de/p/sony-kd-85x80l-led-fernseher-215-cm-85-zoll-4k-ultra-hd-smart-tv-google-tv-hdr-x1-prozessor-bravia-core-triluminos-pro-hdmi-2-1-gaming-menue-1723522817/,Sony KD-85X80L LED-Fernseher,Gesponsert,Sponsored,Sony,"999,00 €","2.499,00 €",-60%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,23,5.0,F,https://i.otto.de/i/otto/fd9c794f-b3da-534a-b429-cf63d4ed740a?$dv_energieetikett$,https://d.otto.de/files/07c97f4d-c91b-5c8b-9b80-462f725bc08c.pdf,"{""Diagonale"": ""215 cm/85 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV, Google TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",,
topseller_api,1,0,73,73,73,73,organic,True,1962381523,1962381524,,https://www.otto.de/p/tcl-65p81kxb-qled-fernseher-164-cm-65-zoll-4k-ultra-hd-smart-tv-google-tv-144hz-multi-hdr-dolby-vision-game-master-smart-tv-apple-tv-onkyo-1962381523/,TCL 65P81KXB QLED-Fernseher,,,TCL,"499,00 €","649,00 €",-23%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,14,4.5,F,https://i.otto.de/i/otto/7632af1a-6a18-5165-832d-cc5385ba718a?$dv_energieetikett$,https://d.otto.de/files/468a7c05-ad70-57b3-8b4c-e882c6f83616.pdf,"{""Diagonale"": ""164 cm/65 Zoll"", ""Bildschirmtechnologie"": ""QLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV, Google TV"", ""Bildwiederholfrequenz"": ""144 Hz""}",,
topseller_api,1,0,74,74,74,74,organic,True,1969055957,1969055958,,https://www.otto.de/p/tcl-75q8cx7-mini-led-fernseher-189-cm-75-zoll-4k-ultra-hd-smart-tv-google-tv-audio-von-bang-olufsen-smart-tv-apple-tv-144hz-4k-dolby-vision-1969055957/,TCL 75Q8CX7 Mini-LED-Fernseher,,,TCL,"1.299,00 €","1.899,00 €",-32%,nur für kurze Zeit,Only for a short time,lieferbar in 2 Wochen,Available in 2 weeks,10,5.0,D,https://i.otto.de/i/otto/385738c8-8399-5212-a071-c2ca26619499?$dv_energieetikett$,https://d.otto.de/files/e608b275-044a-534f-800c-a36217521b2d.pdf,"{""Diagonale"": ""189 cm/75 Zoll"", ""Bildschirmtechnologie"": ""QLED mini"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV, Google TV"", ""Bildwiederholfrequenz"": ""144 Hz""}",,
topseller_api,1,0,75,75,75,75,organic,True,C1850851405,S0UDV01J3JC9,,https://www.otto.de/p/tcl-65v6bx1-led-fernseher-164-cm-65-zoll-4k-ultra-hd-google-tv-smart-tv-C1850851405/,TCL 65V6BX1 LED-Fernseher,,,TCL,"499,00 €",,,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,55,4.0,E,https://i.otto.de/i/otto/55b73169-d281-5f75-af8b-d4cde5866805?$dv_energieetikett$,https://d.otto.de/files/bc53d12f-a783-50f3-aa09-e6eeb9c82363.pdf,"{""Diagonale"": ""164 cm/65 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Google TV, Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",,
topseller_api,1,0,76,76,76,76,organic,True,1975567561,1975567562,,https://www.otto.de/p/samsung-gq50q7faau-qled-fernseher-125-cm-50-zoll-4k-ultra-hd-smart-tv-quantum-hdr-knox-security-art-store-3d-sound-gaming-hub-ai-tv-1975567561/,Samsung GQ50Q7FAAU QLED-Fernseher,,,Samsung,"379,00 €","749,00 €",-49%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,37,4.5,G,https://i.otto.de/i/otto/9d6c8595-4404-5a9d-aa29-4ed81ca6aaed?$dv_energieetikett$,https://d.otto.de/files/bd4ece29-d7ec-5259-9686-9affff2ce560.pdf,"{""Diagonale"": ""125 cm/50 Zoll"", ""Bildschirmtechnologie"": ""QLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",Sehr beliebt,Very popular
topseller_api,1,0,77,77,77,77,organic,True,1962381540,1962381541,,https://www.otto.de/p/tcl-55p81kx2-qled-fernseher-139-cm-55-zoll-4k-ultra-hd-smart-tv-google-tv-144hz-multi-hdr-dolby-vision-game-master-smart-tv-apple-tv-onkyo-1962381540/,TCL 55P81KX2 QLED-Fernseher,,,TCL,"399,00 €","499,00 €",-20%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,22,4.5,F,https://i.otto.de/i/otto/c4f16a7f-687b-5f4e-aa59-285e1fd17eb5?$dv_energieetikett$,https://d.otto.de/files/7e8dd1df-c1ae-5004-bffe-bd3ef7fa963c.pdf,"{""Diagonale"": ""139 cm/55 Zoll"", ""Bildschirmtechnologie"": ""QLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV, Google TV"", ""Bildwiederholfrequenz"": ""144 Hz""}",,
topseller_api,1,0,78,78,78,78,organic,True,1975567827,1975567828,,https://www.otto.de/p/samsung-gq75q7faau-qled-fernseher-189-cm-75-zoll-4k-ultra-hd-smart-tv-quantum-hdr-knox-security-art-store-3d-sound-gaming-hub-ai-tv-1975567827/,Samsung GQ75Q7FAAU QLED-Fernseher,,,Samsung,"749,00 €","1.699,00 €",-56%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,43,4.5,G,https://i.otto.de/i/otto/7a165237-a89d-55d6-acae-9fffa01908ad?$dv_energieetikett$,https://d.otto.de/files/a94f6c8f-ec93-541c-a8be-b4fa2c6baaa4.pdf,"{""Diagonale"": ""189 cm/75 Zoll"", ""Bildschirmtechnologie"": ""QLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",Sehr beliebt,Very popular
topseller_api,1,0,79,79,79,79,organic,True,C2033481050,2033481051,,https://www.otto.de/p/hama-tv-wandhalterung-tv-wandhalter-schwenkbar-neigbar-ausziehbar-43-55-58-65-bis-75-bis-75-zoll-von-32-75-zoll-mit-kabelmanager-C2033481050/,"Hama TV-Wandhalterung TV Wandhalter schwenkbar, neigbar, ausziehbar 43, 55, 58, 65, bis 75""",,,Hama,"20,99 €","39,99 €",-48%,nur für kurze Zeit,Only for a short time,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,17,4.0,,,,,,
topseller_api,1,0,80,80,80,80,organic,True,S0DJ8068,S0KH50THBP33,,https://www.otto.de/p/medion-md33100-lcd-led-fernseher-125-7-cm-50-zoll-4k-ultra-hd-smart-tv-netflix-hbo-max-prime-video-disneyplus-magenta-tv-appletv-wow-S0DJ8068/,Medion® MD33100 LCD-LED Fernseher,,,Medion®,"249,95 €","399,95 €",-38%,Nur für kurze Zeit,Only for a short time,lieferbar - in  7-9 Werktagen bei dir,Available - at your door in 7-9 working days,,,E,https://i.otto.de/i/otto/3ac5af63-e136-53f0-88f3-4053fde6f136?$dv_energieetikett$,https://d.otto.de/files/be22f480-812b-5a3f-9048-a32029101c7f.pdf,"{""Diagonale"": ""125.7 cm/50 Zoll"", ""Bildschirmtechnologie"": ""LED LCD"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV""}",,
topseller_api,1,0,81,81,81,81,organic,True,S0B8V0UT,S0B8V0UTPCZW,,https://www.otto.de/p/dyon-enter-22-pro-x2-led-fernseher-55-cm-22-zoll-full-hd-nein-24-full-hd-tv-triple-tuner-ciplus-epg-hotelmodus-S0B8V0UT/,Dyon Enter 22 PRO X2 LED-Fernseher,,,Dyon,"119,99 €","229,99 €",-48%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,26,4.5,E,https://i.otto.de/i/otto/188f7700-4ccf-5209-a002-1af8f5d85c4d?$dv_energieetikett$,https://d.otto.de/files/7dfd3373-a3b0-5373-921a-b2061f06e40b.pdf,"{""Diagonale"": ""55 cm/22 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""Full HD"", ""Internetfähigkeit"": ""Nein"", ""Bildwiederholfrequenz"": ""60 Hz""}",,
