source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,discount_type_raw,discount_type,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity,classify_reason,is_target
topseller_api,3,218,255,255,255,255,organic,True,S0NC20HP,S0NC20HPBXP0,,https://www.otto.de/p/magcubic-magcubic-tragbarer-projektor-beamer-hy300-pro-4k-android-11-wifi6-bt-5-portabler-projektor-8000-lm-1500-1-3840-x-2160-px-bt-5-0-4k-1080p-unterstuetzt-S0NC20HP/,Magcubic Tragbarer Projektor Beamer HY300 Pro 4K Android 11 Wifi6 BT 5 Portabler Projektor,,,Magcubic,"57,99 €","99,99 €",-42%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,66,4.0,,,,,,,"exclude_keyword:projektor,beamer",False
topseller_api,3,218,257,257,257,257,organic,True,CS07GJ00Z,S0WDH0KVS9TQ,,https://www.otto.de/p/hama-tv-staender-tv-deckenhalterung-32-bis-65-deckenhalter-bis-65-zoll-tv-halterung-halter-fuer-decke-dachschraege-schrank-kueche-unterschrank-CS07GJ00Z/,"Hama TV-Ständer TV Deckenhalterung 32"" bis 65"" Deckenhalter",,,Hama,"33,90 €","85,00 €",-60%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,5,5.0,,,,,,,"exclude_keyword:halterung,tv-ständer,ständer",False
topseller_api,3,218,259,259,259,259,organic,True,S0B7N07A,S0B7N07AJ5RI,,https://www.otto.de/p/sonni-tv-schrank-schwarzer-wandhalter-minimalistischer-tv-staender-mit-led-beleuchtung-S0B7N07A/,SONNI TV-Schrank Schwarzer Wandhalter Minimalistischer TV-Ständer mit LED-Beleuchtung,,,SONNI,"99,99 €","235,99 €",-58%,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,9,3.5,,,,,,,"exclude_keyword:wandhalter,tv-schrank,schrank,tv-ständer,ständer,beleuchtung",False
topseller_api,3,218,263,263,263,263,organic,True,S0QEZ092,S0QEZ0926USK,,https://www.otto.de/p/ckeyin-lcd-beamer-4k-1080p-projektor-unterstuetzt-netflix-youtube-lcd-beamer-12000-lm-1280-720-px-autofokus-beamer-augenschonender-projektor-wifi-2-4g-5g-android-11-S0QEZ092/,CkeyiN LCD-Beamer 4K 1080P Projektor unterstützt Netflix Youtube LCD-Beamer,,,CkeyiN,"79,99 €","159,99 €",-50%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,25,4.5,,,,,Sehr beliebt,Very popular,"exclude_keyword:projektor,beamer",False
topseller_api,3,218,273,273,273,273,organic,True,C2006929872,2006929873,,https://www.otto.de/p/lg-24u421a-curved-led-monitor-60-cm-24-1920-x-1080-px-full-hd-5-ms-reaktionszeit-100-hz-va-led-24-zoll-full-hd-mit-usb-c-C2006929872/,LG 24U421A Curved-LED-Monitor,,,LG,"78,09 €","149,00 €",-48%,,,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,4,4.5,E,https://i.otto.de/i/otto/2c108cb1-e577-524b-837e-bc143f800c54?$dv_energieetikett$,https://d.otto.de/files/9aed09f4-0d3a-5725-9649-89b681f84fc8.pdf,"{""Diagonale"": ""60 cm/ 24 Zoll"", ""Auflösung"": ""1920 x 1080 px, Full HD"", ""Reaktionszeit"": ""5 ms"", ""Bildwiederholfrequenz"": ""100 Hz""}",,,exclude_keyword:monitor,False
topseller_api,3,218,277,277,277,277,organic,True,S0VF00DS,S0VF00DSV4SM,,https://www.otto.de/p/rfiver-tv-staender-rollbar-tv-wagen-auf-rollen-fuer-26-65-zoll-fernseher-fernsehstaender-bis-65-zoll-1-tlg-drehbarer-tv-staender-tv-standfuss-hoehenverstellbar-neigbar-max-35-kg-vesa-400x400-mm-S0VF00DS/,"Rfiver TV-Ständer Rollbar TV Wagen auf Rollen für 26-65 Zoll Fernseher, Fernsehständer",,,Rfiver,"64,99 €","99,99 €",-35%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,8,4.0,,,,,,,"exclude_keyword:tv-ständer,ständer",False
topseller_api,3,218,281,281,281,281,organic,True,S0RCK0GY,SZLF7WJ81QIT,,https://www.otto.de/p/ultimea-aura-s4t-7-1-soundsystem-surround-soundbar-hdmi-bluetooth-350-w-soundbar-fuer-tv-geraete-mit-app-steuerung-S0RCK0GY/,Ultimea Aura S4T 7.1 Soundsystem,,,Ultimea,"169,99 €","199,99 €",-15%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,45,4.0,,,,"{""Netzwerkstandard"": ""HDMI, Bluetooth"", ""Gesamtleistung"": ""350 W""}",Sehr beliebt,Very popular,missing_tv_positive_keyword,False
topseller_api,3,218,285,285,285,285,organic,True,C2003538578,2003538579,,https://www.otto.de/p/philips-philips-monitor-24e2n1100lb-24-zoll-full-hd-bildschirm-tft-monitor-1920-x-1080-pixel-full-hd-px-1920-x-1080-pixel-full-hd-4-ms-reaktionszeit-full-hd-ergonomisches-neigedesign-C2003538578/,Philips 24E2N1100LB LCD-Monitor,,,Philips,"65,37 €","99,00 €",-34%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,10,4.5,E,https://i.otto.de/i/otto/8f12b7d1-5775-5ef2-ba89-efc6e2e73ac3?$dv_energieetikett$,https://d.otto.de/files/60b9f31b-f653-51f6-b10e-1c0f33e83033.pdf,"{""Diagonale"": ""60,5 cm/ 24 Zoll"", ""Auflösung"": ""1920 x 1080 px, Full HD"", ""Reaktionszeit"": ""1 ms"", ""Bildwiederholfrequenz"": ""100 Hz""}",,,exclude_keyword:monitor,False
topseller_api,3,218,289,289,289,289,organic,True,S00FR0RB,S00FR0RB39EP,,https://www.otto.de/p/redragon-gs560-rgb-soundbar-schwarz-satter-klang-soundbar-4-led-modi-plug-play-via-3-5mmplususb-fuer-pc-tv-laptop-S00FR0RB/,Redragon GS560 RGB Soundbar Schwarz – Satter Klang Soundbar,,,Redragon,"39,99 €","57,99 €",-31%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,2,3.0,,,,"{""Gewicht"": ""0,92 kg""}",,,exclude_accessory_keyword:soundbar,False
topseller_api,3,218,290,290,290,290,organic,True,CS02GN068,S02GN068XJ92,,https://www.otto.de/p/hdplus-streaming-stick-ip-tv-stick-android-tv-inkl-3-monate-hdplus-ip-4k-uhd-CS02GN068/,"HD+ Streaming-Stick IP TV-Stick, Android TV",,,HD+,"57,95 €","69,00 €",-16%,Nur für kurze Zeit,Only for a short time,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,16,4.0,,,,,,,exclude_keyword:streaming-stick,False
topseller_api,3,218,295,295,295,295,organic,True,S0IG00EL,S0IG00ELQ7M9,,https://www.otto.de/p/oscal-pv800-pro-1400-ansi-lumen-4k-google-tv-mit-netflix-wifi-6-led-beamer-1400-lm-google-tv-wifi-6-auto-fokus-auto-keystone-bt-5-0-4000-1-kontrast-S0IG00EL/,"OSCAL PV800 PRO: 1400 ANSI Lumen, 4K, Google TV mit Netflix, WiFi 6 LED-Beamer",,,OSCAL,"219,99 €","359,99 €",-39%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,9,4.5,,,,,,,exclude_keyword:beamer,False
topseller_api,3,218,298,298,298,298,organic,True,C1364158277,1364158278,,https://www.otto.de/p/sony-ht-s40r-kanal-soundbar-5-1-bluetooth-600-w-inkl-kabelgebundenem-subwoofer-kabellosen-rear-lautsprechern-C1364158277/,Sony HT-S40R Kanal- Soundbar,,,Sony,"308,14 €","399,00 €",-23%,,,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,314,4.5,,,,"{""Netzwerkstandard"": ""Bluetooth"", ""Gesamtleistung"": ""600 W"", ""Gewicht"": ""9,8 kg""}",Sehr beliebt,Very popular,exclude_accessory_keyword:soundbar,False
topseller_api,3,218,300,300,300,300,organic,True,C1900586554,S0B2F0PJNMDO,,https://www.otto.de/p/one-for-all-ersatzfernbedienung-urc-1915-fuer-grundig-tv-fernbedienung-1-in-1-C1900586554/,One For All Ersatzfernbedienung URC 1915 für Grundig TV Fernbedienung,,,One For All,"28,99 €",,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,16,4.5,,,,,,,exclude_accessory_keyword:fernbedienung,False
topseller_api,3,218,308,308,308,308,organic,True,S07CW0O7,S07CW0O7UYPV,,https://www.otto.de/p/xgody-android-14-smart-projektor-2026-upgrade-8k-dekodierung-lcd-beamer-350-lm-1000-1-3840-x-2160-px-h726-chip-auto-keystone-correction-180-drehbar-bt-5-4-wifi-6-S07CW0O7/,XGODY Android 14 Smart Projektor 2026 Upgrade 8K-Dekodierung LCD-Beamer,,,XGODY,"59,99 €","199,99 €",-70%,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,18,4.0,,,,,,,"exclude_keyword:projektor,beamer",False
topseller_api,3,218,310,310,310,310,organic,True,S0PFI09Y,S0PFI09Y8611,,https://www.otto.de/p/xgody-android-14-projektor-unterstuetzt-4k-8k-decodierung-wifi-6-bt-5-4-mini-beamer-300-lm-8000-1-3840-x-2860-px-ki-auto-keystone-180-dreh-tragbarer-beamer-heimkino-mit-tv-stick-S0PFI09Y/,"XGODY Android 14 Projektor Unterstützt 4K/8K-Decodierung,WiFi 6, BT 5.4 Mini-Beamer",,,XGODY,"59,99 €","189,99 €",-68%,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,11,4.0,,,,,,,"exclude_keyword:projektor,beamer",False
topseller_api,3,218,316,316,316,316,organic,True,S0UCX00F,S0UCX00FTM92,,https://www.otto.de/p/xgody-native-1080p-projektor-4k-mit-netflix-zertifizierung-autofokus-mini-beamer-450-lm-1500-1-3840-x-2160-1920x1080-px-mit-automatische-trapezkorrektur-wifi-6plusbt-5-4-sprachsteuerung-S0UCX00F/,XGODY Native 1080p Projektor 4K Mit Netflix Zertifizierung(AutoFokus) Mini Beamer,,,XGODY,"89,54 €","359,99 €",-75%,Nur für kurze Zeit,Only for a short time,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,15,4.0,,,,,,,"exclude_keyword:projektor,beamer",False
